depth,  S.cus,   S.cus_undiff,    S.ten,   S.mag,   S.pap,   S.imb,   S.cap,    PoolHollow,  Lawn,   Hummock
48,   0,       0,               0,       3 ,      0,       0,       6,1       0,           3 ,     61
49,   0,       0,               0,       0 ,      0,       0,       6,1       0,           0 ,     61
50,   0,       0,               0,       0 ,      0,       0,       6,0       0,           0 ,     60
51,   0,       0,               0,       0 ,      0,       0,       6,8       0,           0 ,     68
52,   0,       0,               0,       0 ,      0,       0,       5,8       0,           0 ,     58
53,   0,       0,               0,       0 ,      0,       0,       6,7       0,           0 ,     67
54,   0,       0,               0,       0 ,      0,       0,       6,2       0,           0 ,     62
55,   0,       0,               0,       0 ,      0,       0,       5,4       0,           0 ,     54
56,   0,       0,               1,       0 ,      0,       0,       5,5       1,           0 ,     55
57,   0,       0,               0,       0 ,      0,       0,       7,2       0,           0 ,     72
58,   0,       0,               0,       0 ,      0,       0,       7,0       0,           0 ,     70
59,   5,       0,               4,7      0 ,      0,       0,       1,0       5,2          0 ,     10
60,   3,       0,               6,3      0 ,      0,       0,       5,        6,6          0 ,     5
61,   2,       0,               5,9      0 ,      0,       0,       3,        6,1          0 ,     3
62,   5,       0,               5,8      0 ,      0,       0,       1,        6,3          0 ,     1
63,   4,       0,               6,0      0 ,      0,       0,       0,        6,4          0 ,     0
64,   3,       0,               5,1      0 ,      0,       0,       1,2       5,4          0 ,     12
65,   0,       0,               6,       0 ,      0,       0,       5,7       6,           0 ,     57
66,   0,       0,               5,       0 ,      0,       0,       7,2       5,           0 ,     72
67,   0,       0,               4,       0 ,      0,       0,       7,4       4,           0 ,     74
68,   0,       0,               0,       0 ,      0,       0,       7,6       0,           0 ,     76
69,   0,       0,               0,       0 ,      0,       0,       7,8       0,           0 ,     78
70,   0,       0,               5,       0 ,      0,       0,       7,0       5,           0 ,     70
71,   2,       0,               1,0      0 ,      0,       0,       6,1       1,2          0 ,     61
72,   6,       0,               2,5      0 ,      0,       0,       1,4       3,1          0 ,     14
73,   5,       0,               1,8      0 ,      0,       0,       1,7       2,3          0 ,     17
74,   0,       0,               1,0      0 ,      0,       0,       5,        1,0          0 ,     5
75,   0,       0,               5,       0 ,      0,       0,       1,0       5,           0 ,     10
76,   0,       0,               0,       0 ,      0,       0,       1,5       0,           0 ,     15
77,   0,       0,               0,       0 ,      0,       0,       8,        0,           0 ,     8
78,   0,       0,               0,       0 ,      0,       0,       7,0       0,           0 ,     70
79,   0,       0,               0,       0 ,      0,       0,       1,5       0,           0 ,     15
80,   0,       0,               0,       0 ,      0,       0,       6,4       0,           0 ,     64
81,   0,       0,               0,       0 ,      0,       0,       6,7       0,           0 ,     67
82,   0,       0,               0,       0 ,      0,       0,       7,5       0,           0 ,     75
83,   0,       0,               0,       0 ,      0,       0,       7,1       0,           0 ,     71
84,   0,       0,               0,       0 ,      0,       0,       7,2       0,           0 ,     72
85,   0,       0,               0,       0 ,      0,       0,       0,        0,           0 ,     0
86,   0,       0,               0,       0 ,      0,       0,       7,4       0,           0 ,     74
87,   0,       0,               0,       0 ,      0,       0,       8,2       0,           0 ,     82
88,   0,       0,               0,       0 ,      0,       0,       7,8       0,           0 ,     78
89,   0,       0,               0,       0 ,      0,       0,       7,1       0,           0 ,     71

