d,  S.cus,   S.cus_undiff,     S.ten,  S.mag,    S.pap,    S.imb,   S.cap,    PoolHollow,  Lawn,  Hummock
79,   0,       10,               0 ,      0 ,      0,       0,       15,       0 ,          0 ,     15
80,   0,       10,               0 ,      0 ,      0,       0,       64,       0 ,          0 ,     64
81,   0,       10,               0 ,      0 ,      0,       0,       67,       0 ,          0 ,     67
82,   0,       10,               0 ,      0 ,      0,       0,       75,       0 ,          0 ,     75
83,   0,       10,               0 ,      0 ,      0,       0,       71,       0 ,          0 ,     71
84,   0,       10,               0 ,      0 ,      0,       0,       72,       0 ,          0 ,     72
85,   0,       10,               0 ,      0 ,      0,       0,       0 ,       0 ,          0 ,     0
86,   0,       10,               0 ,      0 ,      0,       0,       74,       0 ,          0 ,     74
87,   0,       10,               0 ,      0 ,      0,       0,       82,       0 ,          0 ,     82
88,   0,       10,               0 ,      0 ,      0,       0,       78,       0 ,          0 ,     78
89,   0,       10,               0 ,      0 ,      0,       0,       71,       0 ,          0 ,     71

