WLM19,   S.cus,   S.cus_undiff ,   S.ten,   S.mag,   S.pap,   S.imb,   S.cap,  Hollow,  Lawn,   Hummock
71 ,     0 ,      14,              28,      0 ,      0 ,      2 ,      30,     42,      0 ,     32
72 ,     0 ,      2 ,              40,      0 ,      0 ,      0 ,      25,     42,      0 ,     25
73 ,     0 ,      8 ,              53,      0 ,      0 ,      1 ,      8 ,     61,      0 ,     9
74 ,     0 ,      0 ,              30,      0 ,      0 ,      25,      15,     30,      0 ,     40
75 ,     0 ,      0 ,              0 ,      0 ,      0 ,      91,      1 ,     0 ,      0 ,     92
76 ,     0 ,      0 ,              0 ,      0 ,      0 ,      88,      1 ,     0 ,      0 ,     89
77 ,     0 ,      0 ,              0 ,      0 ,      0 ,      90,      1 ,     0 ,      0 ,     91
78 ,     0 ,      0 ,              0 ,      0 ,      0 ,      91,      1 ,     0 ,      0 ,     92
79 ,     0 ,      0 ,              0 ,      0 ,      0 ,      80,      2 ,     0 ,      0 ,     82
80 ,     0 ,      0 ,              0 ,      0 ,      0 ,      84,      2 ,     0 ,      0 ,     86
81 ,     0 ,      0 ,              0 ,      0 ,      0 ,      83,      2 ,     0 ,      0 ,     85
82 ,     0 ,      0 ,              0 ,      0 ,      0 ,      88,      2 ,     0 ,      0 ,     90
83 ,     0 ,      0 ,              1 ,      0 ,      0 ,      85,      4 ,     1 ,      0 ,     89
84 ,     0 ,      1 ,              1 ,      0 ,      0 ,      88,      2 ,     2 ,      0 ,     90
85 ,     0 ,      0 ,              0 ,      0 ,      0 ,      83,      5 ,     0 ,      0 ,     88
86 ,     0 ,      0 ,              1 ,      0 ,      0 ,      88,      2 ,     1 ,      0 ,     90
87 ,     0 ,      0 ,              1 ,      0 ,      0 ,      89,      2 ,     1 ,      0 ,     91
88 ,     0 ,      0 ,              1 ,      0 ,      0 ,      87,      2 ,     1 ,      0 ,     89
89 ,     0 ,      0 ,              1 ,      0 ,      0 ,      90,      1 ,     1 ,      0 ,     91
90 ,     0 ,      0 ,              1 ,      0 ,      0 ,      87,      2 ,     1 ,      0 ,     89
91 ,     0 ,      0 ,              0 ,      0 ,      0 ,      83,      5 ,     0 ,      0 ,     88
92 ,     0 ,      0 ,              0 ,      0 ,      0 ,      84,      5 ,     0 ,      0 ,     89
93 ,     0 ,      0 ,              1 ,      0 ,      0 ,      73,      7 ,     1 ,      0 ,     80
94 ,     0 ,      0 ,              1 ,      0 ,      0 ,      82,      5 ,     1 ,      0 ,     87
95 ,     0 ,      0 ,              0 ,      0 ,      0 ,      70,      5 ,     0 ,      0 ,     75
96 ,     0 ,      0 ,              1 ,      0 ,      0 ,      85,      4 ,     1 ,      0 ,     89
97 ,     0 ,      0 ,              0 ,      0 ,      0 ,      87,      6 ,     0 ,      0 ,     93
98 ,     0 ,      0 ,              0 ,      0 ,      0 ,      79,      10,     0 ,      0 ,     89
99 ,     0 ,      0 ,              0 ,      0 ,      0 ,      82,      5 ,     0 ,      0 ,     87
