ID		Cage	sd      depth  	dr dstd a  b cc
surface		-51  	5	0      	0  0  3  4   0
Beta242284	250  	40	19  	0  0  3  4   1
Beta269200	2070	40	43   	0  0  3  4   1
Beta242285	2850	40	69   	0  0  3  4   1
Beta269201	3680	50	99   	0  0  3  4   1
Beta242286	4900	40	131  	0  0  3  4   1
Beta242287	5310	40	175  	0  0  3  4   1
Beta269202	5410	40	185  	0  0  3  4   1
Beta277187	5770	40	193  	0  0  3  4   1
UCI37504	7765	15	199     0  0  3  4   1
