depth	min95%	max95%	best	accrate
257	1066	1279	1139	8.1
258	1074	1287	1147	8.14
259	1084	1294	1155	8.19
260	1093	1304	1163	8.24
261	1102	1312	1171	8.29
262	1111	1319	1180	8.34
263	1119	1327	1188	8.39
264	1128	1336	1196	8.44
265	1137	1345	1205	8.49
266	1146	1354	1213	8.54
267	1155	1363	1222	8.59
268	1164	1371	1231	8.64
269	1174	1380	1239	8.69
270	1184	1389	1248	0.79
281	1194	1398	1257	8.79
282	1203	1408	1265	8.84
283	1212	1417	1274	8.89
284	1221	1426	1283	8.95
285	1231	1435	1292	9
286	1241	1444	1301	9.05
287	1249	1454	1310	9.1
288	1259	1463	1319	9.16
289	1268	1472	1328	9.21
290	1277	1482	1338	9.26
291	1286	1492	1347	9.31
292	1296	1502	1356	9.37
293	1306	1512	1366	9.42
294	1315	1522	1375	9.47
295	1325	1531	1384	9.53
296	1335	1540	1394	9.58
297	1344	1549	1404	9.64
298	1354	1559	1413	9.69
299	1364	1568	1423	9.74
300	1373	1578	1433	9.8
301	1382	1588	1442	9.85
302	1391	1598	1452	9.9
303	1400	1607	1462	9.94
304	1409	1617	1472	9.99
305	1419	1627	1482	10.03
306	1429	1637	1492	10.08
307	1438	1647	1502	10.12
308	1448	1657	1512	10.16
309	1457	1667	1522	10.2
310	1466	1677	1533	10.23
311	1476	1687	1543	10.27
312	1485	1698	1553	10.3
313	1494	1709	1563	10.34
314	1503	1720	1574	10.37
315	1513	1731	1584	10.4
316	1521	1741	1595	10.43
317	1530	1750	1605	10.45
318	1539	1759	1615	10.48
319	1548	1769	1626	10.5
320	1557	1779	1636	10.52
321	1567	1790	1647	10.55
322	1576	1801	1658	10.56
323	1587	1811	1668	10.58
324	1597	1822	1679	10.6
325	1607	1833	1689	10.61
326	1616	1843	1700	10.63
327	1626	1854	1711	10.64
328	1636	1864	1721	10.65
329	1645	1874	1732	10.66
330	1655	1885	1742	10.67
331	1665	1895	1753	10.68
332	1675	1904	1764	10.68
333	1685	1914	1774	10.68
334	1695	1923	1785	10.69
335	1704	1934	1796	10.69
336	1714	1945	1807	10.69
337	1724	1955	1817	10.68
338	1734	1966	1828	10.68
339	1744	1975	1839	10.68
340	1754	1986	1849	10.67
341	1763	1997	1860	10.66
342	1772	2008	1871	10.65
343	1782	2018	1881	10.64
344	1791	2029	1892	10.63
345	1800	2039	1903	10.61
346	1810	2049	1913	10.6
347	1819	2060	1924	10.58
348	1829	2071	1934	10.56
349	1838	2081	1945	10.54
350	1848	2092	1955	10.52
351	1858	2102	1966	10.5
352	1868	2112	1976	10.48
353	1878	2122	1987	10.45
354	1888	2131	1997	10.42
355	1898	2141	2008	10.39
356	1908	2151	2018	10.36
357	1918	2160	2029	10.33
