depth	min95%	max95%	best	accrate
255	1049	1281	1134	6.82
256	1057	1289	1140	6.84
257	1064	1297	1147	6.86
258	1071	1305	1154	6.88
259	1078	1313	1161	6.9
260	1086	1320	1168	6.92
261	1093	1328	1175	6.94
262	1100	1335	1182	6.96
263	1107	1343	1189	6.98
264	1114	1350	1196	7.01
265	1122	1358	1203	7.03
266	1128	1365	1210	7.05
267	1135	1373	1217	7.07
268	1143	1381	1224	7.09
269	1150	1388	1231	7.11
270	1157	1396	1238	7.13
271	1165	1403	1245	7.15
272	1173	1411	1252	7.18
273	1180	1419	1260	7.2
274	1187	1426	1267	7.22
275	1193	1434	1274	7.24
276	1201	1442	1281	7.26
277	1207	1449	1288	7.28
278	1215	1457	1296	7.31
279	1222	1465	1303	7.33
280	1229	1473	1310	7.35
281	1237	1480	1318	7.37
282	1244	1488	1325	7.39
283	1252	1496	1332	7.42
284	1259	1503	1340	7.44
285	1265	1511	1347	7.46
286	1273	1519	1355	7.48
287	1280	1527	1362	7.5
288	1287	1535	1370	7.53
289	1294	1542	1377	7.55
290	1301	1550	1385	7.57
291	1309	1558	1392	7.59
292	1316	1566	1400	7.62
293	1323	1573	1408	7.64
294	1330	1581	1415	7.66
295	1338	1589	1423	7.68
296	1346	1597	1431	7.71
297	1353	1604	1438	7.73
298	1361	1612	1446	7.75
299	1368	1620	1454	7.77
300	1376	1629	1462	7.8
301	1383	1637	1469	7.82
302	1392	1645	1477	7.84
303	1399	1652	1485	7.87
304	1407	1660	1493	7.89
305	1415	1668	1501	7.91
306	1423	1676	1509	7.93
307	1431	1684	1517	7.96
308	1439	1692	1525	7.98
309	1447	1700	1533	8
310	1455	1708	1541	8.03
311	1463	1716	1549	8.05
312	1471	1724	1557	8.07
313	1478	1732	1565	8.1
314	1485	1740	1573	8.12
315	1493	1748	1581	8.14
316	1500	1756	1589	8.17
317	1507	1764	1597	8.19
318	1515	1772	1605	8.21
319	1523	1780	1614	8.24
320	1530	1788	1622	8.26
321	1538	1796	1630	8.29
322	1546	1804	1638	8.31
323	1554	1813	1647	8.33
324	1562	1821	1655	8.36
325	1571	1829	1663	8.38
326	1579	1837	1672	8.4
327	1587	1845	1680	8.43
328	1595	1853	1689	8.45
329	1603	1862	1697	8.48
330	1611	1870	1706	8.5
331	1620	1879	1714	8.52
332	1629	1889	1723	8.55
333	1638	1898	1731	8.57
334	1647	1907	1740	8.6
335	1655	1916	1748	8.62
336	1663	1925	1757	8.64
337	1672	1934	1766	8.67
338	1680	1942	1774	8.69
339	1689	1951	1783	8.72
340	1698	1960	1792	8.74
341	1706	1968	1800	8.77
342	1715	1977	1809	8.79
343	1723	1987	1818	8.82
344	1732	1996	1827	8.84
345	1740	2004	1836	8.87
346	1749	2012	1845	8.89
347	1758	2020	1853	8.91
348	1767	2028	1862	8.94
349	1776	2036	1871	8.96
350	1785	2044	1880	8.99
351	1794	2052	1889	9.01
352	1803	2060	1898	9.04
353	1813	2069	1907	9.06
354	1822	2077	1916	9.09
355	1831	2085	1925	9.11
356	1840	2093	1935	9.14
357	1849	2101	1944	9.16
358	1858	2109	1953	9.19
359	1867	2117	1962	9.22
360	1876	2126	1971	9.24
361	1885	2137	1980	9.27
362	1894	2146	1990	9.29
363	1903	2154	1999	9.32
364	1912	2163	2008	9.34
365	1922	2171	2018	9.37
366	1931	2180	2027	9.39
367	1941	2188	2036	9.42
368	1950	2197	2046	9.44
369	1959	2209	2055	9.47
370	1969	2217	2065	9.5
371	1978	2226	2074	9.52
372	1988	2237	2084	9.55
373	1997	2246	2093	9.57
374	2007	2257	2103	9.6
375	2016	2266	2113	9.63
376	2026	2276	2122	9.65
377	2035	2287	2132	9.68
378	2045	2296	2141	9.7
379	2055	2305	2151	9.73
380	2065	2315	2161	9.76
381	2075	2324	2171	9.78
382	2085	2332	2180	9.81
383	2095	2341	2190	9.83
384	2106	2351	2200	9.86
385	2116	2361	2210	9.89
386	2126	2369	2220	9.91
387	2136	2378	2230	9.94
388	2146	2388	2240	9.97
389	2156	2396	2250	9.99
390	2167	2405	2260	10.02
391	2177	2413	2270	10.05
392	2187	2422	2280	10.07
393	2198	2432	2290	10.1
394	2208	2440	2300	10.13
395	2219	2449	2310	10.15
396	2230	2457	2320	10.18
397	2240	2467	2330	10.21
398	2251	2480	2341	10.23
399	2261	2493	2351	10.26
400	2272	2506	2361	10.29
401	2283	2516	2371	10.32
402	2293	2527	2382	10.34
403	2304	2539	2392	10.37
404	2315	2549	2402	10.4
405	2326	2559	2413	10.42
406	2336	2572	2423	10.45
407	2347	2586	2434	10.48
408	2358	2598	2444	10.51
409	2369	2612	2455	10.53
410	2380	2626	2465	10.56
411	2391	2640	2476	10.59
412	2402	2653	2486	10.62
413	2412	2667	2497	10.64
414	2423	2682	2508	10.67
415	2434	2697	2518	10.7
416	2446	2712	2529	10.73
417	2457	2724	2540	10.75
418	2469	2738	2550	10.78
419	2481	2753	2561	10.81
420	2493	2765	2572	10.84
421	2504	2778	2583	10.87
422	2515	2792	2594	10.89
423	2526	2806	2605	10.92
424	2537	2821	2616	10.95
